id,screenName,location,text,created
1.61e+18,HelloAva,"Manhattan, NY","__GOLDEN GLOBES : PREDICTIONS POLL __ï¸ 

What do you THINK WILL WIN 'Best Director, Motion Picture'

James Cameron (Avatar: WoW) 
Daniel Kwan, Daniel Scheinert (Everything Everywhere) 
Baz Luhrmann (Elvis) 
Martin McDonagh (Banshees) 
Steven Spielberg (Fabelmans)

#goldenglobes",2023/1/9 14:22
1.61e+18,HelloAva,"Manhattan, NY","__GOLDEN GLOBES : PREDICTIONS POLL __ï¸ 

Who do you WANT TO WIN 'Best Director, Motion Picture?'

James Cameron (Avatar: WoW) 
Daniel Kwan, Daniel Scheinert (Everything Everywhere) 
Baz Luhrmann (Elvis) 
Martin McDonagh (Banshees) 
Steven Spielberg (Fabelmans)

#goldenglobes",2023/1/9 14:21
1.61e+18,AnimalMX,Mexico,"Diego Calva estÃ¡ nominado en los #GoldenGlobes por 'Babylon', pelÃ­cula que se estrena en MÃ©xico este mes.

https://t.co/k89vr8huPf",2023/1/9 03:00
1.61e+18,awards_watch,"San Francisco, CA","2023 Golden Globes predictions - MOTION PICTURE: 'The Fabelmans,' Elvis,' 'Banshees' and 'Everything Everywhere' vying for wins https://t.co/E2S8UJg7Xe #GoldenGlobes",2023/1/9 00:59
1.61e+18,revistafreim,MÃ©xico,"__ La entrega de los #goldenglobes estÃ¡ muy cerca. Estos son los talentos mexicanos nominados: 

Guillermo del Toro - 'Pinocho'. Mejor pelÃ­cula animada.

Diego Luna - 'Andor'. Mejor actor en serie dramÃ¡tica.

Diego Calva -'Babylon'. Mejor actor de musical o comedia. https://t.co/dBYcivA666",2023/1/8 21:00
1.61e+18,AarontheWise,,Today__ the birthday of #RockStar #ElvisPresley. Top song sung by #AustinButler in the successful #biography film. #rockandroll #musicislife #movienight #tomhanks #RockOn #CriticsChoiceAwards #GoldenGlobes #musicbit #Cinema @missnotyou @orcatwar98 @brutalpuncher1,2023/1/8 19:17
1.61e+18,AarontheWise,,Today__ the birthday of #RockStar #ElvisPresley. Top fact about him as shown in the successful #biography. #rockandroll #musicislife #movienight #AustinButler #tomhanks #CriticsChoiceAwards #GoldenGlobes #musicbit #Cinema @missnotyou @orcatwar98 @brutalpuncher1 @JJRavenation52,2023/1/8 17:40
1.61e+18,tthizz,"Columbus, OH","#Final #GoldenGlobes #predictions - BEST ACTOR DRAMA

#AustinButler in #Elvis 

https://t.co/ngbeHpwtMH",2023/1/8 17:18
1.61e+18,tthizz,"Columbus, OH","#Final #GoldenGlobes #predictions - BEST MOTION PICTURE DRAMA

#Elvis 

https://t.co/ngbeHpx1Cf",2023/1/8 17:16
1.61e+18,classical963fm,Toronto,"Ahead of tonight's Golden Globes, Marc Glassman has reviews for a pair of new films - #Corsage and #Babylon! Read his reviews on our website!

#Toronto #ClassicalMusic #Film #Movies #NewMovies #Reviews #GoldenGlobes #BradPitt #MargotRobbie #TobeyMaguire

https://t.co/mq5sS6UWcH",2023/1/8 17:01
1.61e+18,clarkjoes,she/her,Best score: its going to Babylon and its the only thing it will have a chance in winning deserved for Hurwitz. Best song will be hold my hand lets go gaga stans (or actually it would be funny that none of the big stars win and they give it to Pinocchio lol) #GoldenGlobes,2023/1/8 15:53
1.61e+18,cinemaecritica,,"Triangle of Sadness: L__ccentrica Genialit_
Scopri i Segreti del Film Cult su:
https://t.co/YNRpfMxaAM
#Cinema #triangleofsadness #Oscar #news #notizie #BoxOffice #ZoeSaldana #TheMenu #soloalcinema #WakandaForever #AnyaTaylorJoy #Rai1 #goldenglobes #TheFabelmans #Avatar2 #skytg24 https://t.co/1H2BFLHMz3",2023/1/8 06:39
1.61e+18,helveciodias,"Serro, Brasil","Atualizando minha lista pro #GoldenGlobes_ 2023:

__Os Banshees de Inisherin
__Os Fabelmans
__Elvis
__Tudo em Todo Lugar ao Mesmo Tempo
__uÃ­do Branco
__ada de Novo no Front
_¶ï_Ozark
__Abbott Elementary
__Black Bird
__Pam &amp; Tommy
__The White Lotus",2023/1/8 05:44
1.61e+18,ELDanversNYC,"Upper West Side, Manhattan","How is #SheSaid not nominated for best picture @ Golden Globes? Rhetorical question, obviously, but aren't we past this? Elvis &amp; Top Gun are but not this? If this was a movie about two men taking down a powerful institution it sure as hell would be nominated. #GoldenGlobes",2023/1/8 02:22
1.61e+18,Reforma,Av. MÃ©xico CoyoacÃ¡n 40,#Elvis #GlassOnion y #Pinocho son algunas de las pelÃ­culas que aspiran a un premio en los #GoldenGlobes. Te reunimos una lista con las cintas bÃ¡sicas para estar listos para la gala #TrendingREFORMA https://t.co/cXVybmHPUC,2023/1/7 20:02
1.61e+18,vhscut,,"ENQUETE: Quem vence o #GoldenGlobes de 'Melhor Ator em Filme DramÃ¡tico'? 

#Elvis #TheWhale",2023/1/7 17:48
1.61e+18,vhscut,,"Nas previsÃµes da VHS, o #GoldenGlobes de 'Melhor Ator em Filme DramÃ¡tico' parece bem imprevisÃ­vel.

Quem deve vencer: Austin Butler ('Elvis') ou Brendan Fraser ('The Whale')? 

Confira nossas previsÃµes ao Globo de Ouro 2023: https://t.co/STKYBAdQjv https://t.co/28JDVV5Ybj",2023/1/7 17:48
1.61e+18,awards_watch,"San Francisco, CA","2023 Golden Globes predictions - MOTION PICTURE: 'The Fabelmans,' Elvis,' 'Banshees' and 'Everything Everywhere' vying for wins #GoldenGlobes  https://t.co/E2S8UJg7Xe",2023/1/7 16:53
1.61e+18,ElNuevodeCan,"Hermano de la Espuma, YUL ","Mejor PelÃ­cula __#Goldenglobes 

Fabelmans es de esas pelÃ­culas que puede ganarse todos los premios o llevarse .. Nada_ 

TAR una pelÃ­cula que te mantiene __ï¸__ y nombran a Gustavo Dudamel ____ 

__ The Fabelmans 
â­__ TAR 
(No he visto Avatar-Elvis) https://t.co/6ItIwbeUeV",2023/1/7 16:33
