"nomination-db-card__name","nomination-db-card__name href","nomination-db-card__name href 2","nomination-db-card__nominee__label","nomination-db-card__award","nomination-db-card__award-film","nomination-db-card__award-film href","nomination-db-card__results 2","nomination-db-card__total-awards 3","nomination-db-card__results 3","nomination-db-card__results href","nomination-db-card__total-awards 4","nomination-db-card__results 4","nomination-db-card__results href 2","nomination-db-card__results 5","nomination-db-card__results href 3","nomination-db-card__results 6","nomination-db-card__results href 4","nomination-db-card__total-awards 5","nomination-db-card__results 7","nomination-db-card__results href 5","nomination-db-card__results 8","nomination-db-card__results href 6","nomination-db-card__results 9","nomination-db-card__results href 7"
"Sebastian Stan","https://www.goldenglobes.com/person/sebastian-stan","https://www.goldenglobes.com/person/sebastian-stan","Nominee","Best Actor - Limited Series, Anthology Series or Television Motion Picture","- Pam & Tommy","https://www.goldenglobes.com/tv-show/pam-tommy","1 Nomination","","","","","","","","","","","","","","","","",""
"Bob Odenkirk","https://www.goldenglobes.com/person/bob-odenkirk","https://www.goldenglobes.com/person/bob-odenkirk","Nominee","Best Television Actor - Drama Series","- Better Call Saul","https://www.goldenglobes.com/tv-show/better-call-saul","5 Nominations","Cast","Bob Odenkirk,","https://www.goldenglobes.com/person/bob-odenkirk","","Kerry Condon,","https://www.goldenglobes.com/person/kerry-condon","Ed Begley Jr.,","https://www.goldenglobes.com/person/ed-begley-jr","Carol Burnett,","https://www.goldenglobes.com/person/carol-burnett","","Steven Bauer,","https://www.goldenglobes.com/person/steven-bauer","Bryan Cranston,","https://www.goldenglobes.com/person/bryan-cranston","Aaron Paul","https://www.goldenglobes.com/person/aaron-paul"
"Glass Onion: A Knives Out Mystery","https://www.goldenglobes.com/film/glass-onion-knives-out-mystery","https://www.goldenglobes.com/film/glass-onion-knives-out-mystery","Nominee","Best Picture - Musical/Comedy","","","2 Nominations","Cast","Daniel Craig,","https://www.goldenglobes.com/person/daniel-craig","","Edward Norton,","https://www.goldenglobes.com/person/edward-norton","Leslie Odom Jr.,","https://www.goldenglobes.com/person/leslie-odom-jr","Kate Hudson,","https://www.goldenglobes.com/person/kate-hudson","","Ethan Hawke,","https://www.goldenglobes.com/person/ethan-hawke","Hugh Grant,","https://www.goldenglobes.com/person/hugh-grant","Stephen Sondheim,","https://www.goldenglobes.com/person/stephen-sondheim"
"Quinta Brunson","https://www.goldenglobes.com/person/quinta-brunson","https://www.goldenglobes.com/person/quinta-brunson","Winner","Best Television Actress - Musical/Comedy Series","- Abbott Elementary","https://www.goldenglobes.com/tv-show/abbott-elementary","1 Nomination, 1 Win","","","","","","","","","","","","","","","","",""
"Kerry Condon","https://www.goldenglobes.com/person/kerry-condon","https://www.goldenglobes.com/person/kerry-condon","Nominee","Best Supporting Actress - Motion Picture","- Banshees of Inisherin, The","https://www.goldenglobes.com/film/banshees-inisherin","1 Nomination","Director","Martin McDonagh","https://www.goldenglobes.com/person/martin-mcdonagh","Writer","Martin McDonagh","https://www.goldenglobes.com/person/martin-mcdonagh","Colin Farrell,","https://www.goldenglobes.com/person/colin-farrell","Brendan Gleeson,","https://www.goldenglobes.com/person/brendan-gleeson","Cast","Kerry Condon,","https://www.goldenglobes.com/person/kerry-condon","Barry Keoghan","https://www.goldenglobes.com/person/barry-keoghan","",""
"Barry Keoghan","https://www.goldenglobes.com/person/barry-keoghan","https://www.goldenglobes.com/person/barry-keoghan","Nominee","Best Supporting Actor - Motion Picture","- Banshees of Inisherin, The","https://www.goldenglobes.com/film/banshees-inisherin","1 Nomination","Director","Martin McDonagh","https://www.goldenglobes.com/person/martin-mcdonagh","Writer","Martin McDonagh","https://www.goldenglobes.com/person/martin-mcdonagh","Colin Farrell,","https://www.goldenglobes.com/person/colin-farrell","Brendan Gleeson,","https://www.goldenglobes.com/person/brendan-gleeson","Cast","Kerry Condon,","https://www.goldenglobes.com/person/kerry-condon","Barry Keoghan","https://www.goldenglobes.com/person/barry-keoghan","",""
"Martin McDonagh","https://www.goldenglobes.com/person/martin-mcdonagh","https://www.goldenglobes.com/person/martin-mcdonagh","Nominee","Best Director - Motion Picture","- Banshees of Inisherin, The","https://www.goldenglobes.com/film/banshees-inisherin","4 Nominations, 2 Wins","Director","Martin McDonagh","https://www.goldenglobes.com/person/martin-mcdonagh","Writer","Martin McDonagh","https://www.goldenglobes.com/person/martin-mcdonagh","Colin Farrell,","https://www.goldenglobes.com/person/colin-farrell","Brendan Gleeson,","https://www.goldenglobes.com/person/brendan-gleeson","Cast","Kerry Condon,","https://www.goldenglobes.com/person/kerry-condon","Barry Keoghan","https://www.goldenglobes.com/person/barry-keoghan","",""
"John Williams","https://www.goldenglobes.com/person/john-williams","https://www.goldenglobes.com/person/john-williams","Nominee","Best Score - Motion Picture","- Fabelmans, The","https://www.goldenglobes.com/film/fabelmans","26 Nominations, 4 Wins","Director","Steven Spielberg","https://www.goldenglobes.com/person/steven-spielberg","Writer","Steven Spielberg,","https://www.goldenglobes.com/person/steven-spielberg","Tony Kushner","https://www.goldenglobes.com/person/tony-kushner","Michelle Williams,","https://www.goldenglobes.com/person/michelle-williams","Cast","Paul Dano,","https://www.goldenglobes.com/person/paul-dano","Seth Rogen,","https://www.goldenglobes.com/person/seth-rogen","Judd Hirsch,","https://www.goldenglobes.com/person/judd-hirsch"
"Justin Hurwitz","https://www.goldenglobes.com/person/justin-hurwitz","https://www.goldenglobes.com/person/justin-hurwitz","Winner","Best Score - Motion Picture","- Babylon","https://www.goldenglobes.com/film/babylon","4 Nominations, 4 Wins","Director","Damien Chazelle","https://www.goldenglobes.com/person/damien-chazelle","Writer","Damien Chazelle","https://www.goldenglobes.com/person/damien-chazelle","Margot Robbie,","https://www.goldenglobes.com/person/margot-robbie","Brad Pitt,","https://www.goldenglobes.com/person/brad-pitt","Cast","Tobey Maguire,","https://www.goldenglobes.com/person/tobey-maguire","Jean Smart,","https://www.goldenglobes.com/person/jean-smart","Eric Roberts,","https://www.goldenglobes.com/person/eric-roberts"
"Michelle Yeoh","https://www.goldenglobes.com/person/michelle-yeoh","https://www.goldenglobes.com/person/michelle-yeoh","Winner","Best Actress - Motion Picture - Musical/Comedy","- Everything Everywhere All at Once","https://www.goldenglobes.com/film/everything-everywhere-all-once","1 Nomination, 1 Win","Director","Daniel Kwan,","https://www.goldenglobes.com/person/daniel-kwan","Writer","Daniel Scheinert","https://www.goldenglobes.com/person/daniel-scheinert","Daniel Kwan,","https://www.goldenglobes.com/person/daniel-kwan","Daniel Scheinert","https://www.goldenglobes.com/person/daniel-scheinert","Cast","Michelle Yeoh,","https://www.goldenglobes.com/person/michelle-yeoh","Ke Huy Quan,","https://www.goldenglobes.com/person/ke-huy-quan","Jamie Lee Curtis,","https://www.goldenglobes.com/person/jamie-lee-curtis"
"Brad Pitt","https://www.goldenglobes.com/person/brad-pitt","https://www.goldenglobes.com/person/brad-pitt","Nominee","Best Supporting Actor - Motion Picture","- Babylon","https://www.goldenglobes.com/film/babylon","8 Nominations, 2 Wins","Director","Damien Chazelle","https://www.goldenglobes.com/person/damien-chazelle","Writer","Damien Chazelle","https://www.goldenglobes.com/person/damien-chazelle","Margot Robbie,","https://www.goldenglobes.com/person/margot-robbie","Brad Pitt,","https://www.goldenglobes.com/person/brad-pitt","Cast","Tobey Maguire,","https://www.goldenglobes.com/person/tobey-maguire","Jean Smart,","https://www.goldenglobes.com/person/jean-smart","Eric Roberts,","https://www.goldenglobes.com/person/eric-roberts"
"Hannah Einbinder","https://www.goldenglobes.com/person/hannah-einbinder","https://www.goldenglobes.com/person/hannah-einbinder","Nominee","Best Supporting Actress - Television Series","- Hacks","https://www.goldenglobes.com/tv-show/hacks","2 Nominations","Cast","Jean Smart,","https://www.goldenglobes.com/person/jean-smart","","Hannah Einbinder","https://www.goldenglobes.com/person/hannah-einbinder","","","","","","","","","","",""
"John Lithgow","https://www.goldenglobes.com/person/john-lithgow","https://www.goldenglobes.com/person/john-lithgow","Nominee","Best Supporting Actor - Television Series","- Old Man, The","https://www.goldenglobes.com/tv-show/old-man","6 Nominations, 2 Wins","","","","","","","","","","","","","","","","",""
"Lift Me Up","","","Nominee","Best Song - Motion Picture","- Black Panther: Wakanda Forever","https://www.goldenglobes.com/film/black-panther-wakanda-forever","1 Nomination","","","","","","","","","","","","","","","","",""
"Jean Smart","https://www.goldenglobes.com/person/jean-smart","https://www.goldenglobes.com/person/jean-smart","Nominee","Best Television Actress - Musical/Comedy Series","- Hacks","https://www.goldenglobes.com/tv-show/hacks","2 Nominations, 1 Win","Cast","Jean Smart,","https://www.goldenglobes.com/person/jean-smart","","Hannah Einbinder","https://www.goldenglobes.com/person/hannah-einbinder","","","","","","","","","","",""
"Zendaya","https://www.goldenglobes.com/person/zendaya","https://www.goldenglobes.com/person/zendaya","Winner","Best Television Actress - Drama Series","- Euphoria","https://www.goldenglobes.com/tv-show/euphoria","1 Nomination, 1 Win","","","","","","","","","","","","","","","","",""
"Crown, The","https://www.goldenglobes.com/tv-show/crown","https://www.goldenglobes.com/tv-show/crown","Nominee","Best Drama Series","","","19 Nominations, 7 Wins","Cast","Helena Bonham Carter,","https://www.goldenglobes.com/person/helena-bonham-carter","","Olivia Colman,","https://www.goldenglobes.com/person/olivia-colman","Tobias Menzies,","https://www.goldenglobes.com/person/tobias-menzies","Claire Foy,","https://www.goldenglobes.com/person/claire-foy","","John Lithgow,","https://www.goldenglobes.com/person/john-lithgow","Eileen Atkins,","https://www.goldenglobes.com/person/eileen-atkins","Jared Harris,","https://www.goldenglobes.com/person/jared-harris"
"Only Murders in the Building","https://www.goldenglobes.com/tv-show/only-murders-building","https://www.goldenglobes.com/tv-show/only-murders-building","Nominee","Best Musical/Comedy Series","","","7 Nominations","Writer","Steve Martin","https://www.goldenglobes.com/person/steve-martin","Cast","Steve Martin,","https://www.goldenglobes.com/person/steve-martin","Martin Short,","https://www.goldenglobes.com/person/martin-short","Amy Ryan,","https://www.goldenglobes.com/person/amy-ryan","","Tina Fey,","https://www.goldenglobes.com/person/tina-fey","Nathan Lane,","https://www.goldenglobes.com/person/nathan-lane","Sting,","https://www.goldenglobes.com/person/sting"
"Ozark","https://www.goldenglobes.com/tv-show/ozark","https://www.goldenglobes.com/tv-show/ozark","Nominee","Best Drama Series","","","9 Nominations, 1 Win","Director","Jason Bateman","https://www.goldenglobes.com/person/jason-bateman","Producer","Jason Bateman,","https://www.goldenglobes.com/person/jason-bateman","Patrick Markey","https://www.goldenglobes.com/person/patrick-markey","Jason Bateman,","https://www.goldenglobes.com/person/jason-bateman","Cast","Laura Linney,","https://www.goldenglobes.com/person/laura-linney","Janet McTeer,","https://www.goldenglobes.com/person/janet-mcteer","Julia Garner","https://www.goldenglobes.com/person/julia-garner"
"Ryan Murphy","https://www.goldenglobes.com/person/ryan-murphy","https://www.goldenglobes.com/person/ryan-murphy","Winner","Carol Burnett Award","-","","5 Nominations, 1 Win","","","","","","","","","","","","","","","","",""
"Dropout, The","https://www.goldenglobes.com/tv-show/dropout","https://www.goldenglobes.com/tv-show/dropout","Nominee","Best Limited Series, Anthology Series or Television Motion Picture","","","2 Nominations, 1 Win","","","","","","","","","","","","","","","","",""
"Pam & Tommy","https://www.goldenglobes.com/tv-show/pam-tommy","https://www.goldenglobes.com/tv-show/pam-tommy","Nominee","Best Limited Series, Anthology Series or Television Motion Picture","","","4 Nominations","","","","","","","","","","","","","","","","",""
"Ana de Armas","https://www.goldenglobes.com/person/ana-de-armas","https://www.goldenglobes.com/person/ana-de-armas","Nominee","Best Actress - Motion Picture - Drama","- Blonde","https://www.goldenglobes.com/film/blonde","2 Nominations","","","","","","","","","","","","","","","","",""
"Triangle of Sadness","https://www.goldenglobes.com/film/triangle-sadness","https://www.goldenglobes.com/film/triangle-sadness","Nominee","Best Picture - Musical/Comedy","","","2 Nominations","Director","Ruben Östlund","https://www.goldenglobes.com/person/ruben-ostlund","Writer","Ruben Östlund","https://www.goldenglobes.com/person/ruben-ostlund","Woody Harrelson,","https://www.goldenglobes.com/person/woody-harrelson","Dolly de Leon","https://www.goldenglobes.com/person/dolly-de-leon","Cast","","","","","",""
"Emma Thompson","https://www.goldenglobes.com/person/emma-thompson","https://www.goldenglobes.com/person/emma-thompson","Nominee","Best Actress - Motion Picture - Musical/Comedy","- Good Luck to You, Leo Grande","https://www.goldenglobes.com/film/good-luck-you-leo-grande","11 Nominations, 2 Wins","","","","","","","","","","","","","","","","",""
"Adam Driver","https://www.goldenglobes.com/person/adam-driver","https://www.goldenglobes.com/person/adam-driver","Nominee","Best Actor - Motion Picture - Musical/Comedy","- White Noise","https://www.goldenglobes.com/film/white-noise","3 Nominations","","","","","","","","","","","","","","","","",""
"Puss in Boots: The Last Wish","https://www.goldenglobes.com/film/puss-boots-last-wish","https://www.goldenglobes.com/film/puss-boots-last-wish","Nominee","Best Picture - Animated","","","1 Nomination","","","","","","","","","","","","","","","","",""
"All Quiet on the Western Front","","https://www.goldenglobes.com/film/all-quiet-western-front","Nominee","Best Picture - Non-English Language (formerly Foreign Language)","- All Quiet on the Western Front","","1 Nomination","","","","","","","","","","","","","","","","",""
"Andrew Garfield","https://www.goldenglobes.com/person/andrew-garfield","https://www.goldenglobes.com/person/andrew-garfield","Nominee","Best Actor - Limited Series, Anthology Series or Television Motion Picture","- Under the Banner of Heaven","https://www.goldenglobes.com/tv-show/under-banner-heaven","4 Nominations, 1 Win","","","","","","","","","","","","","","","","",""
"Kevin Costner","https://www.goldenglobes.com/person/kevin-costner","https://www.goldenglobes.com/person/kevin-costner","Winner","Best Television Actor - Drama Series","- Yellowstone","https://www.goldenglobes.com/tv-show/yellowstone","7 Nominations, 3 Wins","","","","","","","","","","","","","","","","",""
"Fabelmans, The","https://www.goldenglobes.com/film/fabelmans","https://www.goldenglobes.com/film/fabelmans","Winner","Best Picture - Drama","","","5 Nominations, 2 Wins","Director","Steven Spielberg","https://www.goldenglobes.com/person/steven-spielberg","Writer","Steven Spielberg,","https://www.goldenglobes.com/person/steven-spielberg","Tony Kushner","https://www.goldenglobes.com/person/tony-kushner","Michelle Williams,","https://www.goldenglobes.com/person/michelle-williams","Cast","Paul Dano,","https://www.goldenglobes.com/person/paul-dano","Seth Rogen,","https://www.goldenglobes.com/person/seth-rogen","Judd Hirsch,","https://www.goldenglobes.com/person/judd-hirsch"
"Evan Peters","https://www.goldenglobes.com/person/evan-peters","https://www.goldenglobes.com/person/evan-peters","Winner","Best Actor - Limited Series, Anthology Series or Television Motion Picture","- Dahmer - Monster: The Jeffrey Dahmer Story","https://www.goldenglobes.com/tv-show/dahmer-monster-jeffrey-dahmer-story","1 Nomination, 1 Win","","","","","","","","","","","","","","","","",""
"John Turturro","https://www.goldenglobes.com/person/john-turturro","https://www.goldenglobes.com/person/john-turturro","Nominee","Best Supporting Actor - Television Series","- Severance","https://www.goldenglobes.com/tv-show/severance","3 Nominations","","","","","","","","","","","","","","","","",""
"Jonathan Pryce","https://www.goldenglobes.com/person/jonathan-pryce","https://www.goldenglobes.com/person/jonathan-pryce","Nominee","Best Supporting Actor - Television Series","- Crown, The","https://www.goldenglobes.com/tv-show/crown","3 Nominations","Cast","Helena Bonham Carter,","https://www.goldenglobes.com/person/helena-bonham-carter","","Olivia Colman,","https://www.goldenglobes.com/person/olivia-colman","Tobias Menzies,","https://www.goldenglobes.com/person/tobias-menzies","Claire Foy,","https://www.goldenglobes.com/person/claire-foy","","John Lithgow,","https://www.goldenglobes.com/person/john-lithgow","Eileen Atkins,","https://www.goldenglobes.com/person/eileen-atkins","Jared Harris,","https://www.goldenglobes.com/person/jared-harris"
"Kaley Cuoco","https://www.goldenglobes.com/person/kaley-cuoco","https://www.goldenglobes.com/person/kaley-cuoco","Nominee","Best Television Actress - Musical/Comedy Series","- Flight Attendant, The","https://www.goldenglobes.com/tv-show/flight-attendant","2 Nominations","","","","","","","","","","","","","","","","",""
"Jenna Ortega","https://www.goldenglobes.com/person/jenna-ortega","https://www.goldenglobes.com/person/jenna-ortega","Nominee","Best Television Actress - Musical/Comedy Series","- Wednesday","https://www.goldenglobes.com/tv-show/wednesday","1 Nomination","","","","","","","","","","","","","","","","",""
"Bear, The","https://www.goldenglobes.com/tv-show/bear","https://www.goldenglobes.com/tv-show/bear","Nominee","Best Musical/Comedy Series","","","2 Nominations, 1 Win","","","","","","","","","","","","","","","","",""
"Todd Field","https://www.goldenglobes.com/person/todd-field","https://www.goldenglobes.com/person/todd-field","Nominee","Best Screenplay - Motion Picture","- TÁR","https://www.goldenglobes.com/film/tar","2 Nominations","Director","Todd Field","https://www.goldenglobes.com/person/todd-field","Writer","Todd Field","https://www.goldenglobes.com/person/todd-field","Cate Blanchett,","https://www.goldenglobes.com/person/cate-blanchett","Alec Baldwin","https://www.goldenglobes.com/person/alec-baldwin","Cast","","","","","",""
"Austin Butler","https://www.goldenglobes.com/person/austin-butler","https://www.goldenglobes.com/person/austin-butler","Winner","Best Actor - Motion Picture - Drama","- Elvis","https://www.goldenglobes.com/film/elvis","1 Nomination, 1 Win","Director","Baz Luhrmann","https://www.goldenglobes.com/person/baz-luhrmann","Writer","Baz Luhrmann","https://www.goldenglobes.com/person/baz-luhrmann","Austin Butler,","https://www.goldenglobes.com/person/austin-butler","Tom Hanks,","https://www.goldenglobes.com/person/tom-hanks","Cast","Kodi Smit-McPhee","https://www.goldenglobes.com/person/kodi-smit-mcphee","","","",""
"Laura Linney","https://www.goldenglobes.com/person/laura-linney","https://www.goldenglobes.com/person/laura-linney","Nominee","Best Television Actress - Drama Series","- Ozark","https://www.goldenglobes.com/tv-show/ozark","8 Nominations, 2 Wins","Director","Jason Bateman","https://www.goldenglobes.com/person/jason-bateman","Producer","Jason Bateman,","https://www.goldenglobes.com/person/jason-bateman","Patrick Markey","https://www.goldenglobes.com/person/patrick-markey","Jason Bateman,","https://www.goldenglobes.com/person/jason-bateman","Cast","Laura Linney,","https://www.goldenglobes.com/person/laura-linney","Janet McTeer,","https://www.goldenglobes.com/person/janet-mcteer","Julia Garner","https://www.goldenglobes.com/person/julia-garner"
"Colin Farrell","https://www.goldenglobes.com/person/colin-farrell","https://www.goldenglobes.com/person/colin-farrell","Winner","Best Actor - Motion Picture - Musical/Comedy","- Banshees of Inisherin, The","https://www.goldenglobes.com/film/banshees-inisherin","3 Nominations, 2 Wins","Director","Martin McDonagh","https://www.goldenglobes.com/person/martin-mcdonagh","Writer","Martin McDonagh","https://www.goldenglobes.com/person/martin-mcdonagh","Colin Farrell,","https://www.goldenglobes.com/person/colin-farrell","Brendan Gleeson,","https://www.goldenglobes.com/person/brendan-gleeson","Cast","Kerry Condon,","https://www.goldenglobes.com/person/kerry-condon","Barry Keoghan","https://www.goldenglobes.com/person/barry-keoghan","",""
"House of the Dragon","https://www.goldenglobes.com/tv-show/house-dragon","https://www.goldenglobes.com/tv-show/house-dragon","Winner","Best Drama Series","","","2 Nominations, 1 Win","","","","","","","","","","","","","","","","",""
"White Lotus, The","https://www.goldenglobes.com/tv-show/white-lotus","https://www.goldenglobes.com/tv-show/white-lotus","Winner","Best Limited Series, Anthology Series or Television Motion Picture","","","5 Nominations, 2 Wins","Cast","Jennifer Coolidge,","https://www.goldenglobes.com/person/jennifer-coolidge","","Connie Britton,","https://www.goldenglobes.com/person/connie-britton","F. Murray Abraham,","https://www.goldenglobes.com/person/f-murray-abraham","Aubrey Plaza","https://www.goldenglobes.com/person/aubrey-plaza","","","","","","",""
"Aubrey Plaza","https://www.goldenglobes.com/person/aubrey-plaza","https://www.goldenglobes.com/person/aubrey-plaza","Nominee","Best Supporting Actress - Television Limited Series/Motion Picture","- White Lotus, The","https://www.goldenglobes.com/tv-show/white-lotus","1 Nomination","Cast","Jennifer Coolidge,","https://www.goldenglobes.com/person/jennifer-coolidge","","Connie Britton,","https://www.goldenglobes.com/person/connie-britton","F. Murray Abraham,","https://www.goldenglobes.com/person/f-murray-abraham","Aubrey Plaza","https://www.goldenglobes.com/person/aubrey-plaza","","","","","","",""
"Sheryl Lee Ralph","https://www.goldenglobes.com/person/sheryl-lee-ralph","https://www.goldenglobes.com/person/sheryl-lee-ralph","Nominee","Best Supporting Actress - Television Series","- Abbott Elementary","https://www.goldenglobes.com/tv-show/abbott-elementary","1 Nomination","","","","","","","","","","","","","","","","",""
"Tyler James Williams","https://www.goldenglobes.com/person/tyler-james-williams","https://www.goldenglobes.com/person/tyler-james-williams","Winner","Best Supporting Actor - Television Series","- Abbott Elementary","https://www.goldenglobes.com/tv-show/abbott-elementary","1 Nomination, 1 Win","","","","","","","","","","","","","","","","",""
"Martin McDonagh","https://www.goldenglobes.com/person/martin-mcdonagh","https://www.goldenglobes.com/person/martin-mcdonagh","Winner","Best Screenplay - Motion Picture","- Banshees of Inisherin, The","https://www.goldenglobes.com/film/banshees-inisherin","4 Nominations, 2 Wins","Director","Martin McDonagh","https://www.goldenglobes.com/person/martin-mcdonagh","Writer","Martin McDonagh","https://www.goldenglobes.com/person/martin-mcdonagh","Colin Farrell,","https://www.goldenglobes.com/person/colin-farrell","Brendan Gleeson,","https://www.goldenglobes.com/person/brendan-gleeson","Cast","Kerry Condon,","https://www.goldenglobes.com/person/kerry-condon","Barry Keoghan","https://www.goldenglobes.com/person/barry-keoghan","",""
"Carter Burwell","https://www.goldenglobes.com/person/carter-burwell","https://www.goldenglobes.com/person/carter-burwell","Nominee","Best Score - Motion Picture","- Banshees of Inisherin, The","https://www.goldenglobes.com/film/banshees-inisherin","4 Nominations","Director","Martin McDonagh","https://www.goldenglobes.com/person/martin-mcdonagh","Writer","Martin McDonagh","https://www.goldenglobes.com/person/martin-mcdonagh","Colin Farrell,","https://www.goldenglobes.com/person/colin-farrell","Brendan Gleeson,","https://www.goldenglobes.com/person/brendan-gleeson","Cast","Kerry Condon,","https://www.goldenglobes.com/person/kerry-condon","Barry Keoghan","https://www.goldenglobes.com/person/barry-keoghan","",""
"Steven Spielberg","https://www.goldenglobes.com/person/steven-spielberg","https://www.goldenglobes.com/person/steven-spielberg","Winner","Best Director - Motion Picture","- Fabelmans, The","https://www.goldenglobes.com/film/fabelmans","20 Nominations, 4 Wins","Director","Steven Spielberg","https://www.goldenglobes.com/person/steven-spielberg","Writer","Steven Spielberg,","https://www.goldenglobes.com/person/steven-spielberg","Tony Kushner","https://www.goldenglobes.com/person/tony-kushner","Michelle Williams,","https://www.goldenglobes.com/person/michelle-williams","Cast","Paul Dano,","https://www.goldenglobes.com/person/paul-dano","Seth Rogen,","https://www.goldenglobes.com/person/seth-rogen","Judd Hirsch,","https://www.goldenglobes.com/person/judd-hirsch"
"Ralph Fiennes","https://www.goldenglobes.com/person/ralph-fiennes","https://www.goldenglobes.com/person/ralph-fiennes","Nominee","Best Actor - Motion Picture - Musical/Comedy","- Menu, The","https://www.goldenglobes.com/film/menu","6 Nominations","","","","","","","","","","","","","","","","",""
"Inu-Oh","https://www.goldenglobes.com/film/inu-oh","https://www.goldenglobes.com/film/inu-oh","Nominee","Best Picture - Animated","","","1 Nomination","","","","","","","","","","","","","","","","",""
"Dolly de Leon","https://www.goldenglobes.com/person/dolly-de-leon","https://www.goldenglobes.com/person/dolly-de-leon","Nominee","Best Supporting Actress - Motion Picture","- Triangle of Sadness","https://www.goldenglobes.com/film/triangle-sadness","1 Nomination","Director","Ruben Östlund","https://www.goldenglobes.com/person/ruben-ostlund","Writer","Ruben Östlund","https://www.goldenglobes.com/person/ruben-ostlund","Woody Harrelson,","https://www.goldenglobes.com/person/woody-harrelson","Dolly de Leon","https://www.goldenglobes.com/person/dolly-de-leon","Cast","","","","","",""
"Jeff Bridges","https://www.goldenglobes.com/person/jeff-bridges","https://www.goldenglobes.com/person/jeff-bridges","Nominee","Best Television Actor - Drama Series","- Old Man, The","https://www.goldenglobes.com/tv-show/old-man","7 Nominations, 1 Win","","","","","","","","","","","","","","","","",""
"Diego Luna","https://www.goldenglobes.com/person/diego-luna","https://www.goldenglobes.com/person/diego-luna","Nominee","Best Television Actor - Drama Series","- Andor","https://www.goldenglobes.com/tv-show/andor","1 Nomination","","","","","","","","","","","","","","","","",""
"Hacks","https://www.goldenglobes.com/tv-show/hacks","https://www.goldenglobes.com/tv-show/hacks","Nominee","Best Musical/Comedy Series","","","6 Nominations, 2 Wins","Cast","Jean Smart,","https://www.goldenglobes.com/person/jean-smart","","Hannah Einbinder","https://www.goldenglobes.com/person/hannah-einbinder","","","","","","","","","","",""
"Selena Gomez","https://www.goldenglobes.com/person/selena-gomez","https://www.goldenglobes.com/person/selena-gomez","Nominee","Best Television Actress - Musical/Comedy Series","- Only Murders in the Building","https://www.goldenglobes.com/tv-show/only-murders-building","1 Nomination","Writer","Steve Martin","https://www.goldenglobes.com/person/steve-martin","Cast","Steve Martin,","https://www.goldenglobes.com/person/steve-martin","Martin Short,","https://www.goldenglobes.com/person/martin-short","Amy Ryan,","https://www.goldenglobes.com/person/amy-ryan","","Tina Fey,","https://www.goldenglobes.com/person/tina-fey","Nathan Lane,","https://www.goldenglobes.com/person/nathan-lane","Sting,","https://www.goldenglobes.com/person/sting"
"Lily James","https://www.goldenglobes.com/person/lily-james","https://www.goldenglobes.com/person/lily-james","Nominee","Best Actress - Limited Series, Anthology Series or Television Motion Picture","- Pam & Tommy","https://www.goldenglobes.com/tv-show/pam-tommy","1 Nomination","","","","","","","","","","","","","","","","",""
"Domhnall Gleeson","https://www.goldenglobes.com/person/domhnall-gleeson","https://www.goldenglobes.com/person/domhnall-gleeson","Nominee","Best Supporting Actor - Television Limited Series/Motion Picture","- Patient, The","https://www.goldenglobes.com/tv-show/patient","1 Nomination","","","","","","","","","","","","","","","","",""
"Henry Winkler","https://www.goldenglobes.com/person/henry-winkler","https://www.goldenglobes.com/person/henry-winkler","Nominee","Best Supporting Actor - Television Series","- Barry","https://www.goldenglobes.com/tv-show/barry","7 Nominations, 2 Wins","Cast","Bill Hader,","https://www.goldenglobes.com/person/bill-hader","","Henry Winkler,","https://www.goldenglobes.com/person/henry-winkler","Jon Hamm","https://www.goldenglobes.com/person/jon-hamm","","","","","","","","",""
"Guillermo del Toro's Pinocchio","https://www.goldenglobes.com/film/guillermo-del-toros-pinocchio","https://www.goldenglobes.com/film/guillermo-del-toros-pinocchio","Winner","Best Picture - Animated","","","3 Nominations, 1 Win","Director","Guillermo del Toro","https://www.goldenglobes.com/person/guillermo-del-toro","Writer","Guillermo del Toro","https://www.goldenglobes.com/person/guillermo-del-toro","Alexandre Desplat","https://www.goldenglobes.com/person/alexandre-desplat","Roeban Katz,","https://www.goldenglobes.com/person/roeban-katz","Music Score","Guillermo del Toro","https://www.goldenglobes.com/person/guillermo-del-toro","Ewan McGregor,","https://www.goldenglobes.com/person/ewan-mcgregor","Ron Perlman,","https://www.goldenglobes.com/person/ron-perlman"
